Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Duncan Robinson,SF,26,28,931,0.607,0.86,0.151,8.8
Glenn Robinson III,SF,27,22,346,0.567,0.462,0.247,9.2
Jerome Robinson,SG,23,13,221,0.456,0.463,0.254,6
Mitchell Robinson,C,22,27,778,0.647,0,0.295,17.5
Isaiah Roby,PF,22,22,445,0.605,0.255,0.307,16.2
Rajon Rondo,PG,34,14,214,0.421,0.473,0.036,8.9
Derrick Rose,PG,32,20,445,0.514,0.205,0.269,17.3
Derrick Rose,PG,32,15,342,0.517,0.212,0.272,17.4
Derrick Rose,G,32,5,103,0.503,0.18,0.26,17
Terrence Ross,SG,29,28,806,0.53,0.427,0.199,12.6
Terry Rozier,SG,26,26,867,0.625,0.505,0.184,18.3
Ricky Rubio,PG,30,27,679,0.475,0.32,0.293,11.2
D'Angelo Russell,PG,24,20,583,0.544,0.454,0.196,16.4
Domantas Sabonis,PF,24,29,1055,0.595,0.18,0.376,20.7
Luka Šamanić,PF,21,4,11,0.509,0.5,0.333,9.9
